PERIODO;FECHA;TIPO_VISITAS;VISITAS
201601;11/01/2016;DISCAPACITADOS;0
201601;11/01/2016;ESCUELAS PRIVADAS;0
201601;11/01/2016;ESCUELAS PUBLICAS;0
201601;11/01/2016;EXTRANJEROS;0
201601;11/01/2016;GUIA ACOMPAÑANTE;0
201601;11/01/2016;INVITACION;0
201601;11/01/2016;MENORES;0
201601;11/01/2016;UNIV. RESIDENTES;41
201601;11/01/2016;JUBILADOS;64
201601;11/01/2016;RESIDENTES;349
201601;11/01/2016;GENERAL;605
201601;12/01/2016;DISC. ACOMPAÑANTE;0
201601;12/01/2016;DISCAPACITADOS;0
201601;12/01/2016;ESCUELAS PRIVADAS;0
201601;12/01/2016;ESCUELAS PUBLICAS;0
201601;12/01/2016;EXTRANJEROS;0
201601;12/01/2016;GUIA ACOMPAÑANTE;0
201601;12/01/2016;INVITACION;0
201601;12/01/2016;JUBILADOS;0
201601;12/01/2016;MENORES;0
201601;12/01/2016;UNIV. RESIDENTES;0
201601;12/01/2016;RESIDENTES;323
201601;12/01/2016;GENERAL;517
201601;13/01/2016;DISC. ACOMPAÑANTE;0
201601;13/01/2016;DISCAPACITADOS;0
201601;13/01/2016;ESCUELAS PRIVADAS;0
201601;13/01/2016;ESCUELAS PUBLICAS;0
201601;13/01/2016;EXTRANJEROS;0
201601;13/01/2016;GUIA ACOMPAÑANTE;0
201601;13/01/2016;INVITACION;0
201601;13/01/2016;JUBILADOS;0
201601;13/01/2016;MENORES;0
201601;13/01/2016;UNIV. RESIDENTES;0
201601;13/01/2016;RESIDENTES;333
201601;13/01/2016;GENERAL;446
201601;14/01/2016;DISC. ACOMPAÑANTE;0
201601;14/01/2016;DISCAPACITADOS;0
201601;14/01/2016;ESCUELAS PRIVADAS;0
201601;14/01/2016;ESCUELAS PUBLICAS;0
201601;14/01/2016;EXTRANJEROS;0
201601;14/01/2016;GUIA ACOMPAÑANTE;0
201601;14/01/2016;INVITACION;0
201601;14/01/2016;JUBILADOS;0
201601;14/01/2016;MENORES;0
201601;14/01/2016;UNIV. RESIDENTES;0
201601;14/01/2016;RESIDENTES;411
201601;14/01/2016;GENERAL;468
201601;15/01/2016;DISC. ACOMPAÑANTE;0
201601;15/01/2016;DISCAPACITADOS;0
201601;15/01/2016;ESCUELAS PRIVADAS;0
201601;15/01/2016;ESCUELAS PUBLICAS;0
201601;15/01/2016;EXTRANJEROS;0
201601;15/01/2016;GUIA ACOMPAÑANTE;0
201601;15/01/2016;INVITACION;0
201601;15/01/2016;JUBILADOS;0
201601;15/01/2016;MENORES;0
201601;15/01/2016;UNIV. RESIDENTES;0
201601;15/01/2016;RESIDENTES;312
201601;15/01/2016;GENERAL;516
201601;16/01/2016;DISC. ACOMPAÑANTE;0
201601;16/01/2016;DISCAPACITADOS;0
201601;16/01/2016;ESCUELAS PRIVADAS;0
201601;16/01/2016;ESCUELAS PUBLICAS;0
201601;16/01/2016;EXTRANJEROS;0
201601;16/01/2016;GUIA ACOMPAÑANTE;0
201601;16/01/2016;INVITACION;0
201601;16/01/2016;JUBILADOS;0
201601;16/01/2016;MENORES;0
201601;16/01/2016;UNIV. RESIDENTES;0
201601;16/01/2016;GENERAL;388
201601;16/01/2016;RESIDENTES;398
