WKT,ID,CODIGO,NOMOFICIAL,ALT_IZQINI,ALT_IZQFIN,ALT_DERINI,ALT_DERFIN,NOMANTER,TIPO_C,LONG,OBSERVA,NOM_MAPA,SENTIDO,COD_SENT,RED_JERARQ,RED_TP,FFCC,TIPO_FFCC,METROBUS
"LINESTRING (-58.4542723268794 -34.6689108645565,-58.4539627953871 -34.668626128465,-58.4537350233888 -34.6684620392744,-58.4534838855965 -34.668331727555,-58.4532677891485 -34.6682351976976,-58.45295824553 -34.6681048803579,-58.4526487040468 -34.6679649108963,-58.452444293909 -34.6678442522023,-58.4522749297579 -34.6677139448312,-58.4521873314974 -34.6676174239694,-58.4520997358987 -34.6675016003751,-58.4519946296959 -34.667298913169,-58.4519304048324 -34.6671251834882,-58.4519078139188 -34.6670072295205)",27800,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",3802,4000,0,0,CRUZ,AVENIDA,314.67,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4557557684382 -34.6703104010623,-58.4551366892022 -34.6697168074149,-58.4547570688546 -34.6693596840246,-58.4545176164255 -34.669147338896,-58.4542723268794 -34.6689108645565)",27801,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4002,4100,0,0,CRUZ,AVENIDA,206.39,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4580575823935 -34.6724812875514,-58.4572625542781 -34.6717197545089,-58.4562775832916 -34.6707838169405,-58.4557557684382 -34.6703104010623)",27802,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4102,4300,0,0,CRUZ,AVENIDA,320.18,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4583636171253 -34.6731542413889,-58.4583432926807 -34.6729694491686,-58.4582772158656 -34.6728014545156,-58.458206054458 -34.6726586584768,-58.4580575823935 -34.6724812875514)",27803,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4302,4400,0,0,CRUZ,AVENIDA,81.23,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.3801817641964 -34.6263711728379,-58.382230244483 -34.6269400252844)",16343,7026,"GARAY, JUAN DE AV.",1102,1170,1101,1169,GARAY - BRASIL,AVENIDA,198.16,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.382230244483 -34.6269400252844,-58.38284073864 -34.626959582074)",16349,7026,"GARAY, JUAN DE AV.",1172,1200,1171,1199,GARAY - BRASIL,AVENIDA,56.02,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.38284073864 -34.626959582074,-58.3831488884659 -34.6269630934001,-58.384088139188 -34.626997999263,-58.3843498495022 -34.6270099990304)",16363,7026,"GARAY, JUAN DE AV.",1202,1300,1201,1299,GARAY - BRASIL,AVENIDA,138.51,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3843498495022 -34.6270099990304,-58.3846696610586 -34.6270245707142,-58.3857290355687 -34.6270635549466)",16379,7026,"GARAY, JUAN DE AV.",1302,1400,1301,1399,GARAY - BRASIL,AVENIDA,126.61,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3857290355687 -34.6270635549466,-58.3869515559086 -34.6271084766678,-58.3871817465486 -34.627118197185)",16391,7026,"GARAY, JUAN DE AV.",1402,1500,1401,1499,GARAY - BRASIL,AVENIDA,133.35,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3871817465486 -34.627118197185,-58.3875025823972 -34.6271316352774,-58.3882954718177 -34.6271646578056)",16412,7026,"GARAY, JUAN DE AV.",1502,1600,1501,1599,GARAY - BRASIL,AVENIDA,102.26,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3882954718177 -34.6271646578056,-58.388684121648 -34.627180810283,-58.3892637776351 -34.627200950035,-58.3894377419194 -34.6272078154353)",16424,7026,"GARAY, JUAN DE AV.",1602,1700,1601,1699,GARAY - BRASIL,AVENIDA,104.86,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3894377419194 -34.6272078154353,-58.3896704043105 -34.6272169693416,-58.3902481919317 -34.627230835481)",16432,7026,"GARAY, JUAN DE AV.",1702,1750,1701,1749,GARAY - BRASIL,AVENIDA,74.36,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3902481919317 -34.627230835481,-58.3911698240387 -34.627252999868)",16436,7026,"GARAY, JUAN DE AV.",1752,1800,1751,1799,GARAY - BRASIL,AVENIDA,84.55,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3911698240387 -34.627252999868,-58.3921594529537 -34.6272635765247)",16443,7026,"GARAY, JUAN DE AV.",1802,1900,0,0,GARAY - BRASIL,AVENIDA,90.76,,AV. JUAN DE GARAY,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3921594529537 -34.6272635765247,-58.3932061026106 -34.627449394806)",16494,7026,"GARAY, JUAN DE AV.",1902,2000,1901,1999,GARAY - BRASIL,AVENIDA,98.17,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3932061026106 -34.627449394806,-58.3942928785819 -34.6276424099532)",16553,7026,"GARAY, JUAN DE AV.",2002,2100,2001,2099,GARAY - BRASIL,AVENIDA,101.93,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3942928785819 -34.6276424099532,-58.3953455006943 -34.6278292695942)",16608,7026,"GARAY, JUAN DE AV.",2102,2200,2101,2199,GARAY - BRASIL,AVENIDA,98.73,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3953455006943 -34.6278292695942,-58.3968070164921 -34.6280870483159)",16676,7026,"GARAY, JUAN DE AV.",2202,2300,2201,2299,GARAY - BRASIL,AVENIDA,137.04,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3968070164921 -34.6280870483159,-58.3968657089348 -34.6280975028923)",16678,7026,"GARAY, JUAN DE AV.",0,0,0,0,GARAY - BRASIL,AVENIDA,5.51,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA LOCAL,,,,Metrobus Sur
"LINESTRING (-58.3968657089348 -34.6280975028923,-58.3985941180819 -34.628405969026)",16768,7026,"GARAY, JUAN DE AV.",2302,2400,2301,2399,GARAY - BRASIL,AVENIDA,162.15,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3985941180819 -34.628405969026,-58.3999065507781 -34.6285607413891)",16815,7026,"GARAY, JUAN DE AV.",2402,2500,2401,2499,GARAY - BRASIL,AVENIDA,121.57,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.3999065507781 -34.6285607413891,-58.4008428791158 -34.6286641105827,-58.4011009209396 -34.6286932562238)",16847,7026,"GARAY, JUAN DE AV.",2502,2600,2501,2599,GARAY - BRASIL,AVENIDA,110.50,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.4011009209396 -34.6286932562238,-58.4023857658332 -34.6288382693391)",16880,7026,"GARAY, JUAN DE AV.",2602,2700,2601,2699,GARAY - BRASIL,AVENIDA,118.91,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.4023857658332 -34.6288382693391,-58.4035429137975 -34.6289689108022)",16913,7026,"GARAY, JUAN DE AV.",2702,2800,2701,2799,GARAY - BRASIL,AVENIDA,107.09,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.4035429137975 -34.6289689108022,-58.405454009253 -34.6291845481762)",16981,7026,"GARAY, JUAN DE AV.",2802,2900,2801,2899,GARAY - BRASIL,AVENIDA,176.87,,AV. JUAN DE GARAY,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur
"LINESTRING (-58.4236365184371 -34.6434453559386,-58.4245978217703 -34.644148569243)",21287,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",902,1000,0,0,CRUZ,AVENIDA,117.70,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4244780501468 -34.6442505771815,-58.4243748895726 -34.6441789228658,-58.4237246854242 -34.6436152891348,-58.4236365184371 -34.6434453559386)",21323,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,901,999,CRUZ,AVENIDA,119.26,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4245978217703 -34.644148569243,-58.4255214963512 -34.644807747983)",21511,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1002,1100,0,0,CRUZ,AVENIDA,111.89,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4252584848789 -34.6448986562441,-58.4244780501468 -34.6442505771815)",21540,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1001,1099,CRUZ,AVENIDA,101.43,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4254926568059 -34.6449966899151,-58.4252584848789 -34.6448986562441)",21602,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,0,0,CRUZ,AVENIDA,24.07,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4260251863092 -34.6456054603212,-58.4261432483227 -34.6456295419932,-58.4264422629992 -34.6459164396734)",21866,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1201,1219,CRUZ,AVENIDA,53.15,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4263678084525 -34.64605783031,-58.4260722483172 -34.6457460421723,-58.4260251863092 -34.6456054603212)",21910,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1202,1220,0,0,CRUZ,AVENIDA,60.12,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4264422629992 -34.6459164396734,-58.4268274469981 -34.6462859311295)",21957,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1221,1249,CRUZ,AVENIDA,54.10,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.426710894934 -34.6464302674135,-58.4263678084525 -34.64605783031)",22005,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1222,1250,0,0,CRUZ,AVENIDA,51.93,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4268274469981 -34.6462859311295,-58.4272442365789 -34.6466858540077)",22091,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1251,1269,CRUZ,AVENIDA,58.55,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4272442365789 -34.6466858540077,-58.4276412679642 -34.6470667550922)",22209,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1271,1299,CRUZ,AVENIDA,55.77,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.427464208885 -34.6472195960544,-58.426710894934 -34.6464302674135)",22241,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1252,1400,0,0,CRUZ,AVENIDA,111.52,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4276412679642 -34.6470667550922,-58.4281337929397 -34.6475393044787)",22333,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1301,1449,CRUZ,AVENIDA,69.19,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4281337929397 -34.6475393044787,-58.4282488752282 -34.6476497629452,-58.4284269051887 -34.6478284100982)",22412,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1451,1499,CRUZ,AVENIDA,41.84,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4282514755452 -34.6479558997585,-58.4280793775998 -34.647857326897,-58.427464208885 -34.6472195960544)",22451,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1402,1500,0,0,CRUZ,AVENIDA,109.67,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4288322119831 -34.6482131124952,-58.4291400766513 -34.6484899665736)",22578,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1531,1569,CRUZ,AVENIDA,41.71,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4291400766513 -34.6484899665736,-58.4294648956713 -34.6487821066377)",22644,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1571,1599,CRUZ,AVENIDA,44.01,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4293467469953 -34.6488728517758,-58.4284152246243 -34.6480495403014,-58.4282514755452 -34.6479558997585)",22669,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1502,1600,0,0,CRUZ,AVENIDA,143.29,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4294648956713 -34.6487821066377,-58.4298548007646 -34.6491327862673)",22724,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1601,1629,CRUZ,AVENIDA,52.83,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4298548007646 -34.6491327862673,-58.4302108087738 -34.6494405669866)",22788,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1631,1669,CRUZ,AVENIDA,47.23,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4302108087738 -34.6494405669866,-58.4305894843589 -34.6497570148556)",22874,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1671,1699,CRUZ,AVENIDA,49.37,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4304299086964 -34.6498743002079,-58.42946021502 -34.6489797169766,-58.4293467469953 -34.6488728517758)",22905,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1602,1700,0,0,CRUZ,AVENIDA,149.01,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4309830594401 -34.6503412903597,-58.4304299086964 -34.6498743002079)",23044,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",1702,1750,0,0,CRUZ,AVENIDA,72.49,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4305894843589 -34.6497570148556,-58.4313108937624 -34.6503571503102)",23048,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1701,1799,CRUZ,AVENIDA,93.84,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4321908599783 -34.6510901420902,-58.43293538004 -34.6517108375829,-58.4331365305094 -34.6518703278877)",23393,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,1901,1999,CRUZ,AVENIDA,122.51,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4331365305094 -34.6518703278877,-58.4338219474219 -34.6524136068834)",23504,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2001,2099,CRUZ,AVENIDA,87.07,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4338219474219 -34.6524136068834,-58.4343823004917 -34.6528577655586,-58.4345748515559 -34.653009786455)",23645,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2101,2199,CRUZ,AVENIDA,95.59,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4345748515559 -34.653009786455,-58.4351921272728 -34.653497195197)",23748,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2201,2299,CRUZ,AVENIDA,78.27,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4351921272728 -34.653497195197,-58.436143146456 -34.6542481323781)",23954,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2301,2399,CRUZ,AVENIDA,120.58,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.436143146456 -34.6542481323781,-58.4371433107171 -34.6545956098306,-58.4374360115838 -34.6547401821098,-58.43752292013 -34.6548068921822)",24085,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2401,2499,CRUZ,AVENIDA,141.59,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.437097901142 -34.6551016010512,-58.4360212372233 -34.6543707854286)",24141,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",2402,2500,0,0,CRUZ,AVENIDA,127.73,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.43752292013 -34.6548068921822,-58.4382256917054 -34.6553459947062,-58.4384180869404 -34.6554916712301)",24234,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2501,2599,CRUZ,AVENIDA,111.82,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4380314409572 -34.6558293136965,-58.437097901142 -34.6551016010512)",24293,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",2502,2600,0,0,CRUZ,AVENIDA,117.65,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4385031247466 -34.6555492954511,-58.4391470914543 -34.6560747905578)",24363,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2601,2639,CRUZ,AVENIDA,82.96,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4387605860122 -34.6563994738596,-58.4380314409572 -34.6558293136965)",24438,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",2602,2640,0,0,CRUZ,AVENIDA,92.02,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4391470914543 -34.6560747905578,-58.4393953065052 -34.6562990685429,-58.4394602211221 -34.6563974640744,-58.4395359521521 -34.6565226229658,-58.4397630699764 -34.656866901241,-58.4398712756312 -34.6569831925227)",24554,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2641,2749,CRUZ,AVENIDA,121.44,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4405605375765 -34.6578130619129,-58.4401884308072 -34.6575127738486,-58.4396246049257 -34.657073852942,-58.4389879330421 -34.6565772375226,-58.4387605860122 -34.6563994738596)",24736,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",2642,2800,0,0,CRUZ,AVENIDA,227.63,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4398712756312 -34.6569831925227,-58.440898967998 -34.6578417152676)",24740,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2751,2801,CRUZ,AVENIDA,133.96,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4411825831917 -34.6582685863483,-58.4405605375765 -34.6578130619129)",24831,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",2802,2850,0,0,CRUZ,AVENIDA,76.63,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.440898967998 -34.6578417152676,-58.4410412145475 -34.6579994783359,-58.4411825831917 -34.6582685863483)",24832,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,0,2803,2849,CRUZ,AVENIDA,64.09,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4411825831917 -34.6582685863483,-58.4415519549238 -34.658613049642)",24900,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",2852,2900,2851,2899,CRUZ,AVENIDA,50.40,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4474407943307 -34.6632791314306,-58.4475415243428 -34.6633635125506)",25546,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",3502,3520,3501,3519,CRUZ,AVENIDA,13.15,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4479612305563 -34.6637397716918,-58.4476559664677 -34.6635066997376,-58.4475415243428 -34.6633635125506)",25594,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",3522,3530,0,0,CRUZ,AVENIDA,57.13,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
"LINESTRING (-58.4484440623809 -34.6641080285017,-58.4479612305563 -34.6637397716918)",25654,3195,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",3532,3580,0,0,CRUZ,AVENIDA,60.23,,AV.GRAL.F. FERNANDEZ DE LA CRUZ,DECRECIENTE,-1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Sur - Ramal Fernández de la Cruz
