"Origen","Destino","Booking"
"Banfield, Argentina","Mar Del Plata, Argentina",5
"Banfield, Argentina","Mar Del Tuyu, Argentina",1
"Banfield, Argentina","Miramar, Argentina",4
"Banfield, Argentina","San Bernardo, Argentina",1
"Banfield, Argentina","Santa Teresita, Argentina",2
"Banfield, Argentina","Villa Gesell, Argentina",1
"Baradero, Argentina","Baradero, Argentina",7
"Barranqueras, Argentina","El Talar De Pacheco, Argentina",1
"Barreal, Argentina","Barreal, Argentina",1
"Belen, Argentina","Belen, Argentina",1
"Bella Vista, Argentina","Buenos Aires, Argentina",1
"Berazategui, Argentina","Mar Del Plata, Argentina",10
"Berazategui, Argentina","Pinamar, Argentina",3
"Berazategui, Argentina","Santa Clara Del Mar, Argentina",1
"Berazategui, Argentina","Santa Teresita, Argentina",3
"Berazategui, Argentina","Villa Gesell, Argentina",3
"Berisso, Argentina","Berisso, Argentina",3
"Bernal, Argentina","Mar Del Plata, Argentina",2
"Bernal, Argentina","Mar Del Tuyu, Argentina",1
"Bernal, Argentina","Miramar, Argentina",1
"Bernal, Argentina","Pinamar, Argentina",2
"Bernal, Argentina","Santa Teresita, Argentina",1
"Bernal, Argentina","Villa Gesell, Argentina",3
"Bialet Masse, Argentina","Bialet Masse, Argentina",5
"Buenos Aires, Argentina","9 De Julio, Argentina",1
"Buenos Aires, Argentina","Adolfo Gonzales Chaves, Argentina",1
"Buenos Aires, Argentina","Aguilares, Argentina",4
"Buenos Aires, Argentina","Apostoles, Argentina",2
"Buenos Aires, Argentina","Arrecifes, Argentina",4
"Buenos Aires, Argentina","Azul, Argentina",30
"Buenos Aires, Argentina","Bahia Blanca, Argentina",4036
"Buenos Aires, Argentina","Balcarce, Argentina",27
"Buenos Aires, Argentina","Barranqueras, Argentina",2
"Buenos Aires, Argentina","Bella Vista, Argentina",8
"Buenos Aires, Argentina","Beltran, Argentina",1
"Buenos Aires, Argentina","Bialet Masse, Argentina",4
"Buenos Aires, Argentina","Caleta Olivia, Argentina",8
"Buenos Aires, Argentina","Campo Largo, Argentina",1
"Buenos Aires, Argentina","Canals, Argentina",3
"Buenos Aires, Argentina","Capilla Del Monte, Argentina",49
"Buenos Aires, Argentina","Capiovi, Argentina",1
"Buenos Aires, Argentina","Carlos Casares, Argentina",1
"Buenos Aires, Argentina","Carmen De Areco, Argentina",6
"Buenos Aires, Argentina","Carmen De Patagones, Argentina",4
"Buenos Aires, Argentina","Catamarca, Argentina",771
