PERIODO;ORIGENFECHA;ORIGENESTACIONID;ORIGENNOMBRE;DESTINOFECHA;DESTINOESTACIONID;DESTINONOMBRE;TIEMPOUSO
2010;30/12/2010 15:59;7;PLAZA ROMA;30/12/2010 17:32;7;PLAZA ROMA;93
2010;30/12/2010 15:50;6;DERECHO;30/12/2010 17:28;6;DERECHO;99
2010;30/12/2010 15:49;6;DERECHO;30/12/2010 17:28;6;DERECHO;99
2010;30/12/2010 15:47;5;ADUANA;30/12/2010 17:41;7;PLAZA ROMA;114
2010;30/12/2010 15:34;3;RETIRO;30/12/2010 15:42;6;DERECHO;9
2010;30/12/2010 15:30;5;ADUANA;30/12/2010 16:13;7;PLAZA ROMA;43
2010;30/12/2010 15:23;7;PLAZA ROMA;30/12/2010 15:42;7;PLAZA ROMA;19
2010;30/12/2010 15:16;6;DERECHO;30/12/2010 15:25;3;RETIRO;9
2010;30/12/2010 15:15;5;ADUANA;30/12/2010 15:28;3;RETIRO;14
2010;30/12/2010 15:14;5;ADUANA;30/12/2010 16:34;6;DERECHO;80
2010;30/12/2010 15:09;5;ADUANA;30/12/2010 16:00;5;ADUANA;51
2010;30/12/2010 15:07;6;DERECHO;30/12/2010 16:39;6;DERECHO;92
2010;30/12/2010 15:06;6;DERECHO;30/12/2010 15:41;6;DERECHO;35
2010;30/12/2010 15:01;3;RETIRO;30/12/2010 15:17;7;PLAZA ROMA;15
2010;30/12/2010 14:58;5;ADUANA;30/12/2010 15:09;3;RETIRO;11
2010;30/12/2010 14:55;3;RETIRO;30/12/2010 16:09;3;RETIRO;74
2010;30/12/2010 14:54;5;ADUANA;30/12/2010 15:39;5;ADUANA;45
2010;30/12/2010 14:53;7;PLAZA ROMA;30/12/2010 16:14;7;PLAZA ROMA;81
2010;30/12/2010 14:52;7;PLAZA ROMA;30/12/2010 15:03;3;RETIRO;11
2010;30/12/2010 14:51;7;PLAZA ROMA;30/12/2010 15:03;3;RETIRO;12
2010;30/12/2010 14:50;5;ADUANA;30/12/2010 14:53;5;ADUANA;3
2010;30/12/2010 14:49;5;ADUANA;30/12/2010 16:13;5;ADUANA;84
2010;30/12/2010 14:49;5;ADUANA;30/12/2010 16:13;5;ADUANA;84
2010;30/12/2010 14:47;6;DERECHO;30/12/2010 14:56;3;RETIRO;9
2010;30/12/2010 14:44;5;ADUANA;30/12/2010 15:28;5;ADUANA;44
2010;30/12/2010 14:41;7;PLAZA ROMA;30/12/2010 16:31;3;RETIRO;110
2010;30/12/2010 14:39;7;PLAZA ROMA;30/12/2010 14:46;3;RETIRO;6
2010;30/12/2010 14:32;7;PLAZA ROMA;30/12/2010 15:50;6;DERECHO;77
2010;30/12/2010 14:30;7;PLAZA ROMA;30/12/2010 15:29;7;PLAZA ROMA;59
2010;30/12/2010 14:30;5;ADUANA;30/12/2010 16:03;5;ADUANA;94
2010;30/12/2010 14:25;7;PLAZA ROMA;30/12/2010 15:17;5;ADUANA;51
2010;30/12/2010 14:22;6;DERECHO;30/12/2010 14:47;5;ADUANA;26
2010;30/12/2010 14:19;7;PLAZA ROMA;30/12/2010 14:28;3;RETIRO;10
2010;30/12/2010 14:17;3;RETIRO;30/12/2010 14:23;6;DERECHO;6
2010;30/12/2010 14:08;5;ADUANA;30/12/2010 15:58;7;PLAZA ROMA;110
2010;30/12/2010 13:58;7;PLAZA ROMA;30/12/2010 14:17;6;DERECHO;20
2010;30/12/2010 13:43;7;PLAZA ROMA;30/12/2010 13:52;3;RETIRO;9
2010;30/12/2010 13:41;5;ADUANA;30/12/2010 14:34;5;ADUANA;53
2010;30/12/2010 13:40;3;RETIRO;30/12/2010 13:48;6;DERECHO;8
2010;30/12/2010 13:38;7;PLAZA ROMA;30/12/2010 14:47;7;PLAZA ROMA;69
2010;30/12/2010 13:31;7;PLAZA ROMA;30/12/2010 13:43;3;RETIRO;12
2010;30/12/2010 13:21;5;ADUANA;30/12/2010 13:40;3;RETIRO;19
2010;30/12/2010 13:20;7;PLAZA ROMA;30/12/2010 14:49;7;PLAZA ROMA;89
2010;30/12/2010 13:19;7;PLAZA ROMA;30/12/2010 14:43;7;PLAZA ROMA;84
2010;30/12/2010 13:19;5;ADUANA;30/12/2010 14:10;5;ADUANA;52
2010;30/12/2010 13:18;5;ADUANA;30/12/2010 13:56;5;ADUANA;38
2010;30/12/2010 13:18;7;PLAZA ROMA;30/12/2010 14:50;7;PLAZA ROMA;92
2010;30/12/2010 13:17;5;ADUANA;30/12/2010 13:52;5;ADUANA;35
2010;30/12/2010 13:16;7;PLAZA ROMA;30/12/2010 14:47;7;PLAZA ROMA;91
2010;30/12/2010 13:16;5;ADUANA;30/12/2010 13:52;5;ADUANA;36
2010;30/12/2010 13:16;5;ADUANA;30/12/2010 15:13;5;ADUANA;118
