ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1125;GRUPO ESCULTORICO  ;1;MARMOL                    ;LA AURORA                              ;PEYNOT, EMILIO EDMUNDO     ;AV PATRICIAS ARGENTINAS 4901     ;AV PATRICIAS ARGENTINAS 4901     ;                                                                      ;                                               ;;PARQUE CHACABUCO;;;;;
1126;MASTIL             ;1;HIERRO                    ;HJE. A LA BANDERA                      ;D.G.M. Y M.O.A.            ;PLAZA JUAN DE GARAY              ;PLAZA JUAN DE GARAY              ;GARAY, JUAN DE AV. 1501                                               ;GARAY, JUAN DE AV.                             ;1501;PALERMO;COMUNA 1;1153;C1153ACA;-34.6270767952581;-58.388349788379465
1127;JARRON             ;1;CEMENTO PATINADO          ;MOTIVO DECORATIVO                      ;M.O.A.                     ;PLAZA JUAN DE GARAY              ;PLAZA JUAN DE GARAY              ;GARAY, JUAN DE AV. 1501                                               ;GARAY, JUAN DE AV.                             ;1501;PALERMO;COMUNA 1;1153;C1153ACA;-34.6270767952581;-58.388349788379465
1128;MONUMENTO          ;1;MARMOL                    ;OFRENDA FLORAL A SARMIENTO             ;PEYNOT, EMILIO EDMUNDO     ;ROSEDAL                          ;ROSEDAL                          ;ISABEL, INFANTA AV. 900                                               ;ISABEL, INFANTA AV.                            ;900;PALERMO;COMUNA 14;1425;C1425CHA;-34.57006679763025;-58.42048286500513
1129;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL BARRIO DE CONSTITUCION         ;                           ;PLAZA JUAN DE GARAY              ;PLAZA JUAN DE GARAY              ;GARAY, JUAN DE AV. 1501                                               ;GARAY, JUAN DE AV.                             ;1501;PALERMO;COMUNA 1;1153;C1153ACA;-34.6270767952581;-58.388349788379465
1130;BUSTO              ;1;BRONCE Y MARMOL           ;JOSE ORTEGA Y GASSET                   ;PIRAN, ROSA                ;AV.PTE.QUINTANA E/CALLAO Y AYACUC;AV.PTE.QUINTANA E/CALLAO Y AYACUC;                                                                      ;                                               ;;PARQUE CHAS;;;;;
1131;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA OBRA 53                   ;M.O.A. Y D.A.O.M.          ;PLAZA JUAN JOSE PASO             ;PLAZA JUAN JOSE PASO             ;MOLDES 1302                                                           ;MOLDES                                         ;1302;CHACARITA;COMUNA 13;1426;C1426ALP;-34.56973961007974;-58.45286064918858
1132;MONUMENTO          ;1;BRONCE Y MARMOL           ;JUAN JOSE PASO                         ;TASSO, TORCUATO            ;PLAZA JUAN JOSE PASO             ;PLAZA JUAN JOSE PASO             ;MOLDES 1302                                                           ;MOLDES                                         ;1302;VILLA REAL;COMUNA 13;1426;C1426ALP;-34.56973961007974;-58.45286064918858
1133;PLACA              ;1;BRONCE                    ;HJE.DIA INTERNACIONAL DE LA PAZ        ;D.G.O.M.                   ;PLAZA JUAN XXIII                 ;PLAZA JUAN XXIII                 ;                                                                      ;                                               ;;VILLA REAL;;;;;
1134;BUSTO              ;1;MARMOL                    ;MANUEL J. GUIRALDES                    ;PUJIA, ANTONIO             ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
