ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1;JARRON             ;1;HIERRO FUNDIDO            ;MOTIVO DECORATIVO                      ;                           ;PLAZA  FRANCISCO  SICARDI        ;PLAZA  FRANCISCO  SICARDI        ;VARELA AV. 1500                                                       ;VARELA AV.                                     ;1500;FLORES;COMUNA 7;1406;C1406ELD;-34.645034251856984;-58.45249593797182
2;PLACA              ;1;BRONCE                    ;HJE.AL GENERAL SAN MARTIN              ;ABBIATI, S.                ;                                 ;                                 ;                                                                      ;                                               ;;;;;;;
3;MONUMENTO          ;1;GRANITO Y BRONCE          ;SIRIOS A LA ARGENTINA                  ;AFFANI, GARIBALDI          ;PZTA. DR. CARLOS ALBERTO ERRO    ;PZTA. DR. CARLOS ALBERTO ERRO    ;                                                                      ;                                               ;;;;;;;
4;MONUMENTO          ;1;BRONCE Y GRANITO          ;PRO CULTURA NACIONAL                   ;AFFANI, GARIBALDI          ;                                 ;                                 ;DEL LIBERTADOR AV. Y CALLAO AV.                                       ;DEL LIBERTADOR AV.                             ;;RECOLETA;COMUNA 2;;;-34.586585155522265;-58.38585230082456
5;MONUMENTO          ;1;MARMOL Y PIEDRA           ;GERMAN BURMEISTER                      ;AIGNER, RICARDO            ;PARQUE DEL CENTENARIO            ;PARQUE DEL CENTENARIO            ;DIAZ VELEZ AV. 4800                                                   ;DIAZ VELEZ AV.                                 ;4800;CABALLITO;COMUNA 6;1405;C1405DCP;-34.608665624794405;-58.43480423794467
6;BUSTO              ;1;CEMENTO PATINADO          ;DR. SEVERO OCHOA                       ;ALONSO, ANAHI              ;PZTA.ENRIQUE UDAONDO             ;PZTA.ENRIQUE UDAONDO             ;                                                                      ;                                               ;;;;;;;
7;ESTATUA            ;1;MARMOL                    ;CENTINELA DE LA PATRIA                 ;ALONSO, MATEO              ;PZTA. BASE MARAMBIO              ;PZTA. BASE MARAMBIO              ;PATRICIAS ARGENTINAS AV. 400                                          ;PATRICIAS ARGENTINAS AV.                       ;400;CABALLITO;COMUNA 6;1405;C1405BWQ;-34.60478277856649;-58.43440204973295
8;JARRON             ;1;CEMENTO PATINADO          ;MOTIVO DECORATIVO                      ;M.O.A.                     ;PLAZA  JUAN B.TERAN              ;PLAZA  JUAN B.TERAN              ;MELINCUE 5402                                                         ;MELINCUE                                       ;5402;VILLA REAL;COMUNA 10;1408;C1408BFD;-34.61996728458776;-58.51953924730692
9;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A JUAN XXIII                       ;D.A.O.M.                   ;PLAZA  JUAN XXIII                ;PLAZA  JUAN XXIII                ;SCALABRINI ORTIZ, RAUL AV. 1800                                       ;SCALABRINI ORTIZ, RAUL AV.                     ;1800;PALERMO;COMUNA 14;1414;C1414DOR;-34.58973292612644;-58.42336146940734
10;MONUMENTO          ;1;BRONCE                    ;CRISTOBAL  COLON                       ;VASSILICOS, JOSEFA A. DE   ;PLAZA  MARTIN DE IRIGOYEN        ;PLAZA  MARTIN DE IRIGOYEN        ;                                                                      ;                                               ;;;;;;;
11;ESTATUA            ;1;MARMOL DE CORDOBA         ;INTERIORES                             ;ALVAREZ LOMBA, A.          ;                                 ;                                 ;BOEDO AV. 883                                                         ;BOEDO AV.                                      ;883;FLORES;COMUNA 5;1218;C1218AAE;-34.62371261326536;-58.4163275755905
12;MONUMENTO          ;1;BRONCE Y PIEDRA           ;ARGENTINA Y SUIZA UNIDAS SOBRE EL MUNDO;AMLEHN, FRANZ SALES        ;                                 ;                                 ;DORREGO AV. 4045                                                      ;DORREGO AV.                                    ;4045;;COMUNA 14;1425;C1425GBE;-34.56290083571842;-58.41704703355066
13;GRUPO ESCULTORICO  ;1;MARMOL                    ;FLORA ARGENTINA                        ;ANDINA, EMILIO             ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
14;ESTATUA            ;1;MARMOL                    ;EL TRABAJO                             ;ANDINA, EMILIO             ;                                 ;                                 ;CASEROS AV. Y MONTEAGUDO                                              ;CASEROS AV.                                    ;;RECOLETA;COMUNA 4;;;-34.63711738161982;-58.40561079435866
15;ESTATUA            ;1;BRONCE                    ;?USTA (FUENTE INCAICA)              ;ANDINA, EMILIO             ;                                 ;                                 ;PERON, EVA AV. 1410                                                   ;PERON, EVA AV.                                 ;1410;CABALLITO;COMUNA 7;1406;C1406HMP;-34.632902763217736;-58.44476251965362
16;MASTIL             ;1;BRONCE Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;BARRIAS, LUIS ERNESTO      ;PLAZA  SUD  AMERICA              ;PLAZA  SUD  AMERICA              ;PIEDRA BUENA AV. 4900                                                 ;PIEDRA BUENA AV.                               ;4900;;COMUNA 8;1439;C1439GWS;-34.68747427997385;-58.47539139076213
17;MASTIL             ;1;GRANITO Y BRONCE          ;HOMENAJE A LA BANDERA                  ;PERLOTI, LUIS              ;PLAZA VELEZ SARSFIELD            ;PLAZA VELEZ SARSFIELD            ;AVELLANEDA AV. 3800                                                   ;AVELLANEDA AV.                                 ;3800;CABALLITO;COMUNA 10;1407;C1407EJR;-34.62920338494417;-58.48217465717332
18;MONUMENTO          ;1;BRONCE Y MAMPOSTERIA      ;CEFERINO NAMUNCURA                     ;ARMAS, ARMANDO             ;PZTA. CEFERINO NAMUNCURA         ;PZTA. CEFERINO NAMUNCURA         ;ARREGUI AV. 6400                                                      ;ARREGUI AV.                                    ;6400;VILLA REAL;COMUNA 10;1408;C1408AVV;-34.6284718480725;-58.52401789645231
19;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA OBRA 85                   ;D.G.M                      ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;PALERMO;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
20;MONUMENTO          ;1;GRANITO Y BRONCE          ;DON JUAN DE GARAY                      ;EBERLEIN, GUSTAVO          ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
21;BUSTO              ;1;MARMOL                    ;BASILIO V. PERTINE                     ;ARRIGUTTI, MASIO           ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;BOEDO;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
22;PLACA              ;1;BRONCE                    ;HJE. A JUAN DE GARAY                   ;                           ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;PALERMO;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
23;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL IV∞ CENTENARIO              ;                           ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;PALERMO;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
24;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL IV∞ CENTENARIO              ;                           ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;PARQUE PATRICIOS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
25;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. VASCO A GUERNICA                  ;                           ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;PARQUE CHACABUCO;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
26;BUSTO              ;1;MARMOL                    ;MARIANO DE VEDIA YMITRE                ;ASSALI, ORESTES            ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;VILLA RIACHUELO;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
27;ESCULTURA MODERNA  ;1;MAMPOSTERIA               ;LA PRIMAVERA                           ;ASSLER, FEDERICO           ;                                 ;                                 ;CORDOBA AV. Y RODRIGUEZ PE—A                                      ;CORDOBA AV.                                    ;;FLORESTA;COMUNA 1;;;-34.5995601455541;-58.39155901024706
28;MONUMENTO          ;1;BRONCE Y GRANITO          ;EN LAS AMERICAS                        ;ATTARDI, UGO               ;PZTA.PROVINCIA DE TUCUMAN        ;PZTA.PROVINCIA DE TUCUMAN        ;9 DE JULIO AV. Y PELLEGRINI, CARLOS                                   ;9 DE JULIO AV.                                 ;;VERSALLES;COMUNA 1;;;-34.59668496376315;-58.38142415256232
29;BUSTO              ;1;PIEDRA MAR DEL PLATA      ;MIGUEL DE CERVANTES SAAVEDRA           ;AZCARATE, ENRIQUE          ;JARDIN DE LOS POETAS             ;JARDIN DE LOS POETAS             ;                                                                      ;                                               ;;SAN NICOLAS;;;;;
30;FIGURA             ;1;MAMPOSTERIA               ;LA DANZA                               ;BADII, LIBERO              ;TEATRO SAN MARTIN                ;TEATRO SAN MARTIN                ;CORRIENTES AV. 1530                                                   ;CORRIENTES AV.                                 ;1530;SAN NICOLAS;COMUNA 1;1042;C1042AAO;-34.604238054156944;-58.38864181184383
31;ESTATUA            ;1;BRONCE                    ;LA COSECHADORA                         ;BADIN, JEAN VICTOR         ;                                 ;                                 ;MITRE, EMILIO 793                                                     ;MITRE, EMILIO                                  ;793;MONSERRAT;COMUNA 7;1424;C1424AYO;-34.63093429652618;-58.442290810147185
32;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZA                  ;                           ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
33;MONUMENTO          ;1;BRONCE Y MARMOL           ;HOMENAJE A LOS CAIDOS EN CASTILLA      ;BAIARDI, MARIO             ;                                 ;                                 ;OBLIGADO RAFAEL, AV.COSTANERA                                         ;OBLIGADO RAFAEL, AV.COSTANERA                  ;;SAN NICOLAS;;;;;
34;MONUMENTO          ;1;BRONCE Y GRANITO          ;CAP.GRL.JUSTO JOSE DE URQUIZA          ;BALDI,RENZO Y ROCHA,HECTOR ;                                 ;                                 ;FIGUEROA ALCORTA, PRES. AV. Y SARMIENTO AV.                           ;FIGUEROA ALCORTA, PRES. AV.                    ;;SAN NICOLAS;COMUNA 14;;;-34.571545801660946;-58.41158090327671
35;BUSTO              ;1;CEMENTO PATINADO          ;COMANDANTE LUIS J. FONTANA             ;BALERO, LUIS               ;                                 ;                                 ;IRIGOYEN, BERNARDO DE 248                                             ;IRIGOYEN, BERNARDO DE                          ;248;SAN NICOLAS;COMUNA 1;1072;C1072AAF;-34.611279686525044;-58.38052427735525
36;ESTATUA            ;1;GRANITO RECONSTITUIDO     ;TESTIMONIO                             ;BALIETTI, ALBERTO          ;                                 ;                                 ;BOEDO AV. 956                                                         ;BOEDO AV.                                      ;956;MONSERRAT;COMUNA 5;1218;C1218AAS;-34.62494074501502;-58.4160448023133
37;BUSTO              ;1;MARMOL                    ;JOAQUIN S. DE ANCHORENA                ;BALIETTI, ALBERTO          ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;SAN NICOLAS;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
38;BUSTO              ;1;MARMOL                    ;TOMAS JOSE CABALLERO                   ;BALIETTI, ALBERTO          ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;RETIRO;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
39;PLACA Y VERJA ARTIS;1;BRONCE E HIERRO           ;HJE. AL ARBOL DE GUERNICA              ;                           ;PLAZA 11 DE JUNIO DE 1580        ;PLAZA 11 DE JUNIO DE 1580        ;ALEM, LEANDRO N. AV. 90                                               ;ALEM, LEANDRO N. AV.                           ;90;;COMUNA 1;1003;C1003AAN;-34.60669936351648;-58.370368737213916
40;BUSTO              ;1;MARMOL                    ;GIACOMO LEOPARDI                       ;BALIETTI, ALBERTO          ;JARDIN DE LOS POETAS             ;JARDIN DE LOS POETAS             ;                                                                      ;                                               ;;SAN NICOLAS;;;;;
41;ESCULTURA          ;1;GRANITO RECONSTITUIDO     ;LA AURORA                              ;BALIETTI, ALBERTO          ;PZTA. SAN VLADIMIRO              ;PZTA. SAN VLADIMIRO              ;                                                                      ;                                               ;;PARQUE CHACABUCO;;;;;
42;MASTIL             ;1;MAMPOSTERIA E HIERRO      ;HJE. A LA BANDERA                      ;E.A.I.M.                   ;PLAZA 11 DE NOVIEMBRE DE 1859    ;PLAZA 11 DE NOVIEMBRE DE 1859    ;DIRECTORIO AV. 2600                                                   ;DIRECTORIO AV.                                 ;2600;SAN NICOLAS;COMUNA 7;1406;C1406HAO;-34.63435473556575;-58.46331989095321
43;ESTATUA            ;1;CEMENTO PATINADO          ;PLEGARIA INDIA TEHUELCHE               ;BARDAS, NICOLAS            ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
44;BUSTO              ;1;BRONCE                    ;DR. JUAN MANUEL ESTRADA                ;BARDAS, NICOLAS            ;ESCUELAS RAGGIO                  ;ESCUELAS RAGGIO                  ;DEL LIBERTADOR AV. 8635                                               ;DEL LIBERTADOR AV.                             ;8635;PALERMO;COMUNA 13;1429;C1429BNG;-34.536106731430834;-58.46649604824859
45;ESTATUA            ;1;MARMOL                    ;LA OLA                                 ;BARDAS, NICOLAS ISIDRO     ;PARQUE BALNEARIO SUR             ;PARQUE BALNEARIO SUR             ;                                                                      ;                                               ;;MONSERRAT;;;;;
46;ESTATUA            ;1;MARMOL                    ;LA ARMONIA                             ;BARDAS, NICOLAS ISIDRO     ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;BOEDO;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
47;MASTIL             ;1;BRONCE Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;BARRIAS, ERNESTO           ;PZTA.MALAGARRIGA                 ;PZTA.MALAGARRIGA                 ;CABILDO AV. 4002                                                      ;CABILDO AV.                                    ;4002;MONSERRAT;COMUNA 12;1429;C1429AAY;-34.54639654356436;-58.470351717251916
48;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A DON FELICIANO BRUNELLI          ;D.G.O.P.                   ;CNEL. APOLINARIO FIGUEROA 602    ;CNEL. APOLINARIO FIGUEROA 602    ;FIGUEROA, D. APOLINARIO, CORONEL 602                                  ;FIGUEROA, D. APOLINARIO, CORONEL               ;602;MONSERRAT;COMUNA 15;1416;C1416DPD;-34.60615040934279;-58.44835374955517
49;MASTIL             ;1;MAMPOSTERIA Y BRONCE      ;HOMENAJE A LA BANDERA                  ;BARRIAS, LUIS ERNESTO      ;AV.RIESTRA Y M.LEGUIZAMON        ;AV.RIESTRA Y M.LEGUIZAMON        ;RIESTRA AV. Y LEGUIZAMON, MARTINIANO                                  ;RIESTRA AV.                                    ;;SAN NICOLAS;COMUNA 8;;;-34.677923609294645;-58.47613342980809
50;MASTIL             ;1;BRONCE Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;BARRIAS, LUIS ERNESTO      ;PASEO REPUBLICA DE FILIPINAS     ;PASEO REPUBLICA DE FILIPINAS     ;DE LOS INCAS AV. Y FOREST AV.                                         ;DE LOS INCAS AV.                               ;;;COMUNA 13;;;-34.575102960508374;-58.463188213544335
51;GRUPO ESCULTORICO  ;1;MARMOL                    ;MATERNIDAD                             ;MUSSA, RICARDO             ;CNEL. APOLINARIO FIGUEROA 602    ;CNEL. APOLINARIO FIGUEROA 602    ;FIGUEROA, D. APOLINARIO, CORONEL 602                                  ;FIGUEROA, D. APOLINARIO, CORONEL               ;602;;COMUNA 15;1416;C1416DPD;-34.60615040934279;-58.44835374955517
52;ESCULTURA NEOFIGURA;1;HIERRO                    ;EL ARBOL                               ;BASTERRETXEA, N.           ;PARQUE CARLOS THAYS              ;PARQUE CARLOS THAYS              ;DEL LIBERTADOR AV. Y CALLAO AV.                                       ;DEL LIBERTADOR AV.                             ;;FLORES;COMUNA 2;;;-34.586585155522265;-58.38585230082456
53;ESTATUA            ;1;MARMOL                    ;ALLA FONTE                             ;BATTIGLIA, C               ;PASEO DE LA RECOLETA             ;PASEO DE LA RECOLETA             ;LOPEZ, VICENTE 2050                                                   ;LOPEZ, VICENTE                                 ;2050;PALERMO;COMUNA 2;1128;C1128ACF;-34.588919443992125;-58.39362848214972
54;GRUPO ESCULTORICO  ;1;BRONCE                    ;HOMENAJE A LA MADRE                    ;BATTISTI, FERRARO          ;AV.RIESTRA Y MURGUIONDO          ;AV.RIESTRA Y MURGUIONDO          ;RIESTRA AV. Y MURGUIONDO                                              ;RIESTRA AV.                                    ;;NUÒEZ;COMUNA 8;;;-34.67721779279616;-58.475334193005686
55;MURAL              ;1;VENECITA                  ;MOTIVO DECORATIVO                      ;BATTLE, PLANAS             ;TEATRO SAN MARTIN                ;TEATRO SAN MARTIN                ;CORRIENTES AV. 1530                                                   ;CORRIENTES AV.                                 ;1530;;COMUNA 1;1042;C1042AAO;-34.604238054156944;-58.38864181184383
56;BUSTO Y BASE       ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL GRL. SAN MARTIN                ;PERLOTI, LUIS              ;CNEL. APOLINARIO FIGUEROA 602    ;CNEL. APOLINARIO FIGUEROA 602    ;FIGUEROA, D. APOLINARIO, CORONEL 602                                  ;FIGUEROA, D. APOLINARIO, CORONEL               ;602;MONSERRAT;COMUNA 15;1416;C1416DPD;-34.60615040934279;-58.44835374955517
57;MASTIL             ;1;HIERRO Y BRONCE           ;ARGENTINIDAD                           ;PERLOTI, LUIS              ;CNEL. APOLINARIO FIGUEROA 602    ;CNEL. APOLINARIO FIGUEROA 602    ;FIGUEROA, D. APOLINARIO, CORONEL 602                                  ;FIGUEROA, D. APOLINARIO, CORONEL               ;602;SAAVEDRA;COMUNA 15;1416;C1416DPD;-34.60615040934279;-58.44835374955517
58;PLACA Y MONOLITO   ;1;FIBROCEMENTO Y MAMPOSTERIA;ESCUDO URUGUAYO                        ;M.O.A.                     ;14 DE JULIO 1150                 ;14 DE JULIO 1150                 ;14 DE JULIO 1150                                                      ;14 DE JULIO                                    ;1150;VILLA CRESPO;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
59;ESTATUA            ;1;BRONCE                    ;PUREZA                                 ;BIGATTI, ALFREDO           ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;VILLA LUGANO;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
60;GRUPO ESCULTORICO  ;1;BRONCE                    ;SATURNALIA                             ;BIONDI, ERNESTO            ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;COLEGIALES;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
61;MONUMENTO CON RELIE;1;CEMENTO PATINADO          ;HOMENAJE A LOS HEROES Y MARTIRES GHETTO;BISCIONE, CARLOS           ;PARQUE DEL CENTENARIO            ;PARQUE DEL CENTENARIO            ;DIAZ VELEZ AV. Y FINOCHIETTO, RICARDO, DR.                            ;DIAZ VELEZ AV.                                 ;;VILLA CRESPO;COMUNA 6;;;-34.608622751102516;-58.43579196744385
62;MONUMENTO ALEGORICO;1;HORMIGON ARMADO           ;CONVIVENCIA Y PAZ                      ;BITTON, FRANCOISE          ;PARQUE DE LOS NI??OS           ;PARQUE DE LOS NI?OS           ;                                                                      ;                                               ;;RECOLETA;;;;;
63;GRUPO ESCULTORICO  ;1;MARMOL                    ;LOS PRIMEROS FRIOS                     ;BLAY Y FABREGAS, M.        ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;RECOLETA;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
64;PLACA Y MONOLITO   ;1;FIBROCEMENTO Y MAMPOSTERIA;ESCUDO NACIONAL                        ;M.O.A.                     ;14 DE JULIO 1150                 ;14 DE JULIO 1150                 ;14 DE JULIO 1150                                                      ;14 DE JULIO                                    ;1150;VILLA LUGANO;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
65;MASTIL             ;1;MAMPOSTERIA E HIERRO      ;HJE. A LA BANDERA                      ;RAVAZZOLI, ING. LUIS       ;14 DE JULIO 1150                 ;14 DE JULIO 1150                 ;14 DE JULIO 1150                                                      ;14 DE JULIO                                    ;1150;SAN NICOLAS;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
66;ESCULTURA          ;1;BRONCE                    ;TORSO MASCULINO                        ;BOTERO, FERNANDO           ;PARQUE CARLOS THAYS              ;PARQUE CARLOS THAYS              ;DEL LIBERTADOR AV. Y CALLAO AV.                                       ;DEL LIBERTADOR AV.                             ;;VILLA CRESPO;COMUNA 2;;;-34.586585155522265;-58.38585230082456
67;MONOLITO           ;1;GRANITO                   ;HJE.AL BRIGADIER GRL.LAVALLEJA         ;                           ;14 DE JULIO 1150                 ;14 DE JULIO 1150                 ;14 DE JULIO 1150                                                      ;14 DE JULIO                                    ;1150;VILLA CRESPO;COMUNA 15;1427;C1427CJX;-34.58017227381173;-58.461883741630615
68;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZA                  ;D.G.M.                     ;FIGUERO ALCORTA 4000             ;FIGUERO ALCORTA 4000             ;FIGUEROA ALCORTA, PRES. AV. 4000                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;4000;VILLA ORTUZAR;COMUNA 14;1425;C1425CLS;-34.57052915000522;-58.41333948518625
69;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A JUAN BAUTISTA ALBERDI            ;D.G.O.M.                   ;O HIGGINS 2600                   ;O HIGGINS 2600                   ;O'HIGGINS 2600                                                        ;O'HIGGINS                                      ;2600;PALERMO;COMUNA 13;1428;C1428AGP;-34.55534109776024;-58.4569014142588
70;GRUPO ESCULTORICO  ;1;MARMOL                    ;EL PERDON                              ;BOVERIE, EUGENIO           ;PARQUE  AVELLANEDA               ;PARQUE  AVELLANEDA               ;DIRECTORIO AV. Y LACARRA                                              ;DIRECTORIO AV.                                 ;;PALERMO;COMUNA 9;;;-34.6412975520066;-58.47992772490574
71;MASTIL             ;1;HIERRO                    ;HJE. A LA BANDERA                      ;CONST.HORIZONTES           ;O HIGGINS 2600                   ;O HIGGINS 2600                   ;O'HIGGINS 2600                                                        ;O'HIGGINS                                      ;2600;CABALLITO;COMUNA 13;1428;C1428AGP;-34.55534109776024;-58.4569014142588
72;BUSTO              ;1;BRONCE                    ;DOMINGO FAUSTINO SARMIENTO             ;BRODSKY, JOSE              ;JARDIN ZOOLOGICO                 ;JARDIN ZOOLOGICO                 ;SARMIENTO 2601                                                        ;SARMIENTO                                      ;2601;;COMUNA 3;1045;C1045ABC;-34.60634336537214;-58.40364250639897
73;BUSTO              ;1;MARMOL                    ;ADOLFO J. BULLRICH                     ;BRODSKY, JOSE              ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;PALERMO;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
74;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A LAUREANO OLIVER                  ;D.G.O.M.                   ;O HIGGINS 2600                   ;O HIGGINS 2600                   ;O'HIGGINS 2600                                                        ;O'HIGGINS                                      ;2600;VILLA ORTUZAR;COMUNA 13;1428;C1428AGP;-34.55534109776024;-58.4569014142588
75;BUSTO              ;1;MARMOL                    ;JOSE MARMOL                            ;BRUNINX, JOSE              ;PASEO DEL LECTOR                 ;PASEO DEL LECTOR                 ;LAS HERAS GENERAL AV. 2505                                            ;LAS HERAS GENERAL AV.                          ;2505;VILLA ORTUZAR;COMUNA 2;1425;C1425ASC;-34.5856141644297;-58.39914756326172
76;BUSTO              ;1;BRONCE                    ;DR. MARCIAL V. QUIROGA                 ;BRUNINX, LUIS              ;HOSPITAL MUNICIPAL RAMOS MEJIA   ;HOSPITAL MUNICIPAL RAMOS MEJIA   ;URQUIZA, GRAL. 609                                                    ;URQUIZA, GRAL.                                 ;609;RECOLETA;COMUNA 3;1221;C1221ADC;-34.617620510654355;-58.409400324618595
77;BUSTO              ;1;BRONCE                    ;RAMON PEREZ AYALA                      ;BUCCI, ARMANDO             ;JARDIN DE LOS POETAS             ;JARDIN DE LOS POETAS             ;                                                                      ;                                               ;;VILLA ORTUZAR;;;;;
78;MONUMENTO          ;1;BRONCE Y PIEDRA           ;GENERAL MARTIN MIGUEL DE GUEMES        ;BUCCI, ERMANDO             ;PARQUE SAN BENITO                ;PARQUE SAN BENITO                ;FIGUEROA ALCORTA, PRES. AV. 6700                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;6700;PALERMO;COMUNA 13;1428;C1428BCP;-34.55076452781657;-58.437555981082845
79;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZA                  ;FUNDICION BALDONI          ;O HIGGINS 2600                   ;O HIGGINS 2600                   ;O'HIGGINS 2600                                                        ;O'HIGGINS                                      ;2600;BELGRANO;COMUNA 13;1428;C1428AGP;-34.55534109776024;-58.4569014142588
80;BUSTO              ;1;MARMOL                    ;CESAR B. CACCIA                        ;BUCCI, ERMANDO             ;PALACIO MUNICIPAL                ;PALACIO MUNICIPAL                ;BOLIVAR 1                                                             ;BOLIVAR                                        ;1;PARQUE AVELLANEDA;COMUNA 1;1066;C1066AAA;-34.60820167772438;-58.373573345960764
81;BUSTO              ;1;PIEDRA RECONSTITUIDA      ;ING. CESAR M. POLLEDO                  ;BUIGUES, PASCUAL           ;PZTA. ING. CESAR M. POLLEDO      ;PZTA. ING. CESAR M. POLLEDO      ;                                                                      ;                                               ;;BELGRANO;;;;;
82;BASE               ;1;MARMOL Y MAMPOSTERIA      ;SUSTENTACION OBRA 2187                 ;BUSTILLO, ALEJANDRO        ;PZTA.DR.CARLOS A. PUEYRREDON     ;PZTA.DR.CARLOS A. PUEYRREDON     ;                                                                      ;                                               ;;BALVANERA;;;;;
