TMI;PROMEDIO_ENERGETICO_HORA;FECHA
1282;68;01/01/2013 0:00
1282;65;01/01/2013 1:00
1282;66;01/01/2013 2:00
1282;63;01/01/2013 3:00
1282;64;01/01/2013 4:00
1282;64;01/01/2013 5:00
1282;62;01/01/2013 6:00
1282;63;01/01/2013 7:00
1282;63;01/01/2013 8:00
1282;62;01/01/2013 9:00
1282;61;01/01/2013 10:00
1282;60;01/01/2013 11:00
1282;57;01/01/2013 12:00
1282;54;01/01/2013 13:00
1282;55;01/01/2013 14:00
1282;55;01/01/2013 15:00
1282;57;01/01/2013 16:00
1282;62;01/01/2013 17:00
1282;65;01/01/2013 18:00
1282;64;01/01/2013 19:00
1282;64;01/01/2013 20:00
1282;64;01/01/2013 21:00
1282;64;01/01/2013 22:00
1282;64;01/01/2013 23:00
1282;68;02/01/2013 0:00
1282;65;02/01/2013 1:00
1282;66;02/01/2013 2:00
1282;63;02/01/2013 3:00
1282;64;02/01/2013 4:00
1282;64;02/01/2013 5:00
1282;62;02/01/2013 6:00
1282;63;02/01/2013 7:00
1282;63;02/01/2013 8:00
1282;62;02/01/2013 9:00
1282;61;02/01/2013 10:00
1282;60;02/01/2013 11:00
1282;57;02/01/2013 12:00
1282;54;02/01/2013 13:00
1282;55;02/01/2013 14:00
1282;55;02/01/2013 15:00
1282;57;02/01/2013 16:00
1282;62;02/01/2013 17:00
1282;65;02/01/2013 18:00
1282;64;02/01/2013 19:00
1282;64;02/01/2013 20:00
1282;64;02/01/2013 21:00
1282;64;02/01/2013 22:00
1282;64;02/01/2013 23:00
1282;68;03/01/2013 0:00
1282;65;03/01/2013 1:00
1282;66;03/01/2013 2:00
1282;63;03/01/2013 3:00
1282;64;03/01/2013 4:00
1282;64;03/01/2013 5:00
1282;62;03/01/2013 6:00
1282;63;03/01/2013 7:00
1282;63;03/01/2013 8:00
1282;62;03/01/2013 9:00
1282;61;03/01/2013 10:00
1282;60;03/01/2013 11:00
1282;57;03/01/2013 12:00
1282;54;03/01/2013 13:00
1282;55;03/01/2013 14:00
1282;55;03/01/2013 15:00
1282;57;03/01/2013 16:00
1282;62;03/01/2013 17:00
1282;65;03/01/2013 18:00
1282;64;03/01/2013 19:00
1282;64;03/01/2013 20:00
1282;64;03/01/2013 21:00
1282;64;03/01/2013 22:00
1282;64;03/01/2013 23:00
1282;68;04/01/2013 0:00
1282;65;04/01/2013 1:00
1282;66;04/01/2013 2:00
1282;63;04/01/2013 3:00
1282;64;04/01/2013 4:00
1282;64;04/01/2013 5:00
1282;62;04/01/2013 6:00
1282;63;04/01/2013 7:00
1282;63;04/01/2013 8:00
1282;62;04/01/2013 9:00
1282;61;04/01/2013 10:00
1282;60;04/01/2013 11:00
1282;57;04/01/2013 12:00
1282;54;04/01/2013 13:00
1282;55;04/01/2013 14:00
1282;55;04/01/2013 15:00
1282;57;04/01/2013 16:00
1282;62;04/01/2013 17:00
1282;65;04/01/2013 18:00
1282;64;04/01/2013 19:00
1282;64;04/01/2013 20:00
1282;64;04/01/2013 21:00
1282;64;04/01/2013 22:00
1282;64;04/01/2013 23:00
1282;68;05/01/2013 0:00
1282;65;05/01/2013 1:00
1282;66;05/01/2013 2:00
1282;63;05/01/2013 3:00
1282;64;05/01/2013 4:00
1282;64;05/01/2013 5:00
1282;62;05/01/2013 6:00
1282;63;05/01/2013 7:00
1282;63;05/01/2013 8:00
1282;62;05/01/2013 9:00
1282;61;05/01/2013 10:00
1282;60;05/01/2013 11:00
1282;57;05/01/2013 12:00
1282;54;05/01/2013 13:00
1282;55;05/01/2013 14:00
1282;55;05/01/2013 15:00
1282;57;05/01/2013 16:00
1282;62;05/01/2013 17:00
